jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|sine:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=sine,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=sine, 
1000,  1000,  completed,  eof,  2016-04-06 07:39:35,  2016-04-06 07:39:45,  10,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|sine:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  1000,  0.05005,  11,  14,  3,  272,  0.05015,  0.0595081824879,  9.34124927324, 
1000,  1061,  completed,  eof,  2016-04-06 07:39:35,  2016-04-06 07:39:43,  8,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|sine:n_22.modelParams|spParams|synPermInactiveDec_0.1,  1000,  0.0001,  9,  12,  1,  22,  0.1,  0.177290555553,  27.830042928, 
1000,  1122,  completed,  eof,  2016-04-06 07:39:35,  2016-04-06 07:39:45,  10,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|sine:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  1000,  0.1,  12,  16,  5,  521,  0.0003,  0.0596194375836,  9.35871345275, 
1000,  1173,  completed,  eof,  2016-04-06 07:39:36,  2016-04-06 07:39:44,  8,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|sine:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  1000,  0.025075,  10,  13,  2,  147,  0.075075,  0.0674496164817,  10.5878495124, 
1000,  1207,  completed,  eof,  2016-04-06 07:39:36,  2016-04-06 07:39:45,  9,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  1000,  0.075025,  11,  15,  4,  396,  0.025225,  0.0591747779405,  9.2889133615, 
1000,  1235,  completed,  eof,  2016-04-06 07:39:43,  2016-04-06 07:39:50,  7,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|sine:n_22.modelParams|spParams|synPermInactiveDec_0.1,  1000,  0.0001,  9,  12,  1,  22,  0.1,  0.177290555553,  27.830042928, 
1000,  1236,  completed,  eof,  2016-04-06 07:39:44,  2016-04-06 07:39:52,  8,  modelParams|clParams|alpha_0.02008.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|sine:n_122.modelParams|spParams|synPermInactiveDec_0.07009,  1000,  0.02008,  10,  13,  2,  122,  0.07009,  0.0650317177015,  10.2083017884, 
1000,  1237,  completed,  eof,  2016-04-06 07:39:45,  2016-04-06 07:39:53,  8,  modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|sine:n_296.modelParams|spParams|synPermInactiveDec_0.055135,  1000,  0.055045,  11,  14,  3,  296,  0.055135,  0.0655178851223,  10.2846175298, 
1000,  1238,  completed,  eof,  2016-04-06 07:39:45,  2016-04-06 07:39:53,  8,  modelParams|clParams|alpha_0.07003.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_421.modelParams|spParams|synPermInactiveDec_0.03021,  1000,  0.07003,  10,  15,  4,  421,  0.03021,  0.0619009808753,  9.71685688319, 
1000,  1239,  completed,  eof,  2016-04-06 07:39:45,  2016-04-06 07:39:54,  9,  modelParams|clParams|alpha_0.0747751425553.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_444.modelParams|spParams|synPermInactiveDec_0.0302633922224,  1000,  0.0747751425553,  11,  15,  4,  444,  0.0302633922224,  0.0589074171751,  9.24694461954, 
1000,  1240,  completed,  eof,  2016-04-06 07:39:50,  2016-04-06 07:39:59,  9,  modelParams|clParams|alpha_0.059540822334.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|sine:n_319.modelParams|spParams|synPermInactiveDec_0.0263110733328,  1000,  0.059540822334,  11,  15,  3,  319,  0.0263110733328,  0.0628366625048,  9.86373475739, 
1000,  1241,  completed,  eof,  2016-04-06 07:39:52,  2016-04-06 07:40:01,  9,  modelParams|clParams|alpha_0.0633369363783.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_338.modelParams|spParams|synPermInactiveDec_0.0238826439997,  1000,  0.0633369363783,  11,  15,  4,  338,  0.0238826439997,  0.0616846743368,  9.6829023376, 
1000,  1242,  completed,  eof,  2016-04-06 07:39:53,  2016-04-06 07:40:01,  8,  modelParams|clParams|alpha_0.0711592422699.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_378.modelParams|spParams|synPermInactiveDec_0.0253011883027,  1000,  0.0711592422699,  11,  15,  4,  378,  0.0253011883027,  0.0605861702208,  9.51046553401, 
1000,  1243,  completed,  eof,  2016-04-06 07:39:53,  2016-04-06 07:40:02,  9,  modelParams|clParams|alpha_0.0741456151748.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_401.modelParams|spParams|synPermInactiveDec_0.0253545805251,  1000,  0.0741456151748,  11,  15,  4,  401,  0.0253545805251,  0.0593026281043,  9.30898253854, 
1000,  1244,  completed,  eof,  2016-04-06 07:39:54,  2016-04-06 07:40:03,  9,  modelParams|clParams|alpha_0.0684689281942.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_425.modelParams|spParams|synPermInactiveDec_0.037754240278,  1000,  0.0684689281942,  11,  14,  4,  425,  0.037754240278,  0.0624231308803,  9.79882096192, 
1000,  1245,  completed,  killed,  2016-04-06 07:39:59,  2016-04-06 07:40:03,  4,  modelParams|clParams|alpha_0.0867408928362.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|sine:n_495.modelParams|spParams|synPermInactiveDec_0.0118496268781,  450,  0.0867408928362,  11,  16,  5,  495,  0.0118496268781,  0.0800096741061,  12.5440886858, 
1000,  1246,  completed,  killed,  2016-04-06 07:40:01,  2016-04-06 07:40:03,  2,  modelParams|clParams|alpha_0.0834161666844.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_478.modelParams|spParams|synPermInactiveDec_0.0187252215203,  200,  0.0834161666844,  11,  16,  4,  478,  0.0187252215203,  0.0811149837557,  12.6819767716, 
1000,  1247,  completed,  killed,  2016-04-06 07:40:01,  2016-04-06 07:40:03,  2,  modelParams|clParams|alpha_0.0725450676503.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_426.modelParams|spParams|synPermInactiveDec_0.0283286206367,  150,  0.0725450676503,  11,  15,  4,  426,  0.0283286206367,  0.0841346693138,  13.1320578899, 
1000,  1248,  completed,  killed,  2016-04-06 07:40:02,  2016-04-06 07:40:03,  1,  modelParams|clParams|alpha_0.0759165460424.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_430.modelParams|spParams|synPermInactiveDec_0.0290313033666,  50,  0.0759165460424,  12,  15,  4,  430,  0.0290313033666,  0.103165541765,  15.8863280338, 


jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|sine:n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=sine,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=sine, 
1005,  2130,  completed,  eof,  2016-04-06 17:47:52,  2016-04-06 17:48:15,  23,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|sine:n_272.modelParams|spParams|synPermInactiveDec_0.05015,  3000,  0.05005,  11,  14,  3,  272,  0.05015,  0.0410010135471,  2.14751459963, 
1005,  2188,  completed,  eof,  2016-04-06 17:47:52,  2016-04-06 17:48:13,  21,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|sine:n_22.modelParams|spParams|synPermInactiveDec_0.1,  3000,  0.0001,  9,  12,  1,  22,  0.1,  0.158830802577,  8.31909842944, 
1005,  2229,  completed,  eof,  2016-04-06 17:47:52,  2016-04-06 17:48:17,  25,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|sine:n_521.modelParams|spParams|synPermInactiveDec_0.0003,  3000,  0.1,  12,  16,  5,  521,  0.0003,  0.0273978852636,  1.4350220522, 
1005,  2266,  completed,  eof,  2016-04-06 17:47:52,  2016-04-06 17:48:15,  23,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|sine:n_147.modelParams|spParams|synPermInactiveDec_0.075075,  3000,  0.025075,  10,  13,  2,  147,  0.075075,  0.166697283556,  8.73112196956, 
1005,  2294,  completed,  eof,  2016-04-06 17:47:52,  2016-04-06 17:48:15,  23,  modelParams|clParams|alpha_0.075025.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_396.modelParams|spParams|synPermInactiveDec_0.025225,  3000,  0.075025,  11,  15,  4,  396,  0.025225,  0.00779330354618,  0.408190717665, 
1005,  2325,  completed,  eof,  2016-04-06 17:48:14,  2016-04-06 17:48:35,  21,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|sine:n_22.modelParams|spParams|synPermInactiveDec_0.1,  3000,  0.0001,  9,  12,  1,  22,  0.1,  0.158830802577,  8.31909842944, 
1005,  2326,  completed,  eof,  2016-04-06 17:48:15,  2016-04-06 17:48:39,  24,  modelParams|clParams|alpha_0.055045.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|sine:n_296.modelParams|spParams|synPermInactiveDec_0.055135,  3000,  0.055045,  11,  14,  3,  296,  0.055135,  0.10451411856,  5.4741474919, 
1005,  2327,  completed,  eof,  2016-04-06 17:48:15,  2016-04-06 17:48:39,  24,  modelParams|clParams|alpha_0.07003.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_421.modelParams|spParams|synPermInactiveDec_0.03021,  3000,  0.07003,  10,  15,  4,  421,  0.03021,  0.0107459291236,  0.562840712534, 
1005,  2328,  completed,  eof,  2016-04-06 17:48:15,  2016-04-06 17:48:39,  24,  modelParams|clParams|alpha_0.0605397148893.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_324.modelParams|spParams|synPermInactiveDec_0.0201332155552,  3000,  0.0605397148893,  11,  15,  4,  324,  0.0201332155552,  0.0238364708874,  1.2484854594, 
1005,  2329,  completed,  eof,  2016-04-06 17:48:17,  2016-04-06 17:48:41,  24,  modelParams|clParams|alpha_0.0747751425553.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_444.modelParams|spParams|synPermInactiveDec_0.0302633922224,  3000,  0.0747751425553,  11,  15,  4,  444,  0.0302633922224,  0.0123010944005,  0.644295775423, 
1005,  2330,  completed,  killed,  2016-04-06 17:48:35,  2016-04-06 17:48:41,  6,  modelParams|clParams|alpha_0.059540822334.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|sine:n_319.modelParams|spParams|synPermInactiveDec_0.0263110733328,  550,  0.059540822334,  11,  15,  3,  319,  0.0263110733328,  0.0757556942534,  11.8819501131, 
1005,  2331,  completed,  killed,  2016-04-06 17:48:39,  2016-04-06 17:48:41,  2,  modelParams|clParams|alpha_0.0811390368683.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_427.modelParams|spParams|synPermInactiveDec_0.0115004610779,  150,  0.0811390368683,  11,  16,  4,  427,  0.0115004610779,  0.076339221095,  11.9153148027, 
1005,  2332,  completed,  killed,  2016-04-06 17:48:39,  2016-04-06 17:48:41,  2,  modelParams|clParams|alpha_0.0711592422699.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_378.modelParams|spParams|synPermInactiveDec_0.0253011883027,  100,  0.0711592422699,  11,  15,  4,  378,  0.0253011883027,  0.0718278926739,  11.1735481993, 
1005,  2333,  completed,  killed,  2016-04-06 17:48:39,  2016-04-06 17:48:41,  2,  modelParams|clParams|alpha_0.0741456151748.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_15.modelParams|tpParams|pamLength_4.modelParams|sensorParams|encoders|sine:n_401.modelParams|spParams|synPermInactiveDec_0.0253545805251,  100,  0.0741456151748,  11,  15,  4,  401,  0.0253545805251,  0.0859003397012,  13.3626582969, 
